id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw17Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
523,Danny,Ings,FWD,WHU,?,"Ings (FWD, ?)",23,9,7,0.8,0.31999999999999995,0.4,1.0,1.0,1.4375,1.640625,2.524102563288584,1.0,0.0,2.5555555555555554,2.419753086419753,2.910177967490843,-1,0.8888888888888888,0,0.0,0,1.0,0.94444444444,1,0,0,0,?
516,Vladimír,Coufal,DEF,WHU,?,"Coufal (DEF, ?)",13,9,7,0.8,0.64,0.7483314773547883,0.0,0.0,0.8125,0.9140625,1.4670868242881878,1.0,0.0,1.4444444444444444,1.1358024691358026,1.7069212773041351,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
588,Guido,Rodríguez,MID,WHU,?,"G.Rodríguez (MID, ?)",21,14,2,0.4,0.48,0.48989794855663565,1.0,1.0,1.3125,0.8515625,0.982264602843857,1.5,0.5,1.5,0.7857142857142857,0.9063269671749657,-1,0.8888888888888888,0,0.0,0,1.0,0.94444444444,1,0,0,0,?
591,Jean-Clair,Todibo,DEF,WHU,?,"Todibo (DEF, ?)",16,11,5,0.4,0.48,0.48989794855663565,1.0,1.0,1.0,0.875,1.4577379737113252,1.0,0.0,1.4545454545454546,1.0247933884297522,1.5587661999529314,-1,0.8888888888888888,1,1.1111111111111112,0,0.0,1.0,1,0,0,0,?
576,Andy,Irving,MID,WHU,?,"Irving (MID, ?)",4,5,11,0.4,0.48,0.48989794855663565,0.0,0.0,0.25,0.375,0.4330127018922193,1.0,0.0,0.8,0.31999999999999995,0.4000000000000001,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
517,Aaron,Cresswell,DEF,WHU,?,"Cresswell (DEF, ?)",4,5,11,0.2,0.32,0.4,0.0,0.0,0.25,0.375,0.4330127018922193,1.0,0.0,0.8,0.31999999999999995,0.4,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
643,Kaelan,Casey,DEF,WHU,?,"Casey (DEF, ?)",1,1,15,0.2,0.32,0.4,0.0,0.0,0.0625,0.1171875,0.24206145913796356,1.0,0.0,1.0,0.0,0.0,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
677,Ollie,Scarles,DEF,WHU,?,"Scarles (DEF, ?)",1,1,15,0.2,0.32,0.4,0.0,0.0,0.0625,0.1171875,0.24206145913796356,1.0,0.0,1.0,0.0,0.0,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
513,Alphonse,Areola,GKP,WHU,?,"Areola (GKP, ?)",15,8,8,0.0,0.0,0.0,0.0,0.5,0.9375,1.1796875,1.6381678027601445,1.5,0.5,1.875,1.375,1.899835519196333,-1,-0.05555555555555555,1,0.05555555555555555,0,0.0,0.0,1,0,0,0,?
526,Luis Guilherme,Lira dos Santos,MID,WHU,?,"L.Guilherme (MID, ?)",2,2,14,0.0,0.0,0.0,0.0,0.0,0.125,0.21875,0.33071891388307384,1.0,0.0,1.0,0.0,0.0,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
519,George,Earthy,MID,WHU,?,"Earthy (MID, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
522,Wes,Foderingham,GKP,WHU,?,"Foderingham (GKP, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
529,Nayef,Aguerd,DEF,WHU,?,"N.Aguerd (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
532,Kurt,Zouma,DEF,WHU,?,"Zouma (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
686,Ezra,Mayers,DEF,WHU,?,"Mayers (DEF, ?)",0,0,16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,1,0.0,0,0.0,0.0,1,0,0,0,?
