id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts/fixture,avg_pts/fixture,MeanAbsDev(pts/fixture),med_pts/fixture,MedAbsDev(pts/fixture),std_pts/fixture_played,avg_pts/fixture_played,MeanAbsDev(pts/fixture_played),med_pts/fixture_played,MedAbsDev(pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,xPts(avgAdv),#OfMatches_nxtGWs,gw9Pts,gw10Pts,gw11Pts,gw12Pts,gw13Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
361,Rúben,Gato Alves Dias,DEF,MCI,1↑,"Rúben (DEF, 1↑)",12,8,0,0.4714045207910317,1.3333333333333333,0.4444444444444444,1.0,0.0,1.8027756377319943,1.5,1.25,1.0,0.5,1.8027756377319943,1.5,1.25,1.0,0.5,1.39699433521,10,4.35156429445,6,4.31914250917,0,0.0,4.33535340181,5,7,0,0,0,1,8,3.66464659819,3↑
363,Kyle,Walker,DEF,MCI,1↓,"Walker (DEF, 1↓)",7,5,3,0.816496580927726,1.0,0.6666666666666666,1.0,1.0,0.7806247497997998,0.875,0.65625,1.0,1.0,0.4898979485566356,1.4,0.48,1.0,0.0,0.95225424859,10,4.432618757639999,6,4.36777518708,0,0.0,4.40019697236,5,0,0,1,0,1,2,-2.40019697236,2↓
571,Sávio 'Savinho',Moreira de Oliveira,MID,MCI,3↓,"Sávio (MID, 3↓)",20,6,2,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,3.24037034920393,2.5,2.75,1.0,0.5,3.34995854037363,3.333333333333333,3.1111111111111107,1.0,0.0,1.36693768729,10,4.35156429445,0,0.0,16,4.40019697237,4.37588063341,5,6,0,3,2,1,12,7.62411936659,5↑
356,Matheus Luiz,Nunes,MID,MCI,~,"Matheus N. (MID, ~)",8,5,3,0.4714045207910317,0.6666666666666666,0.4444444444444445,1.0,0.0,1.224744871391589,1.0,0.75,1.0,0.5,1.2000000000000002,1.6,0.9600000000000002,1.0,0.0,0.79398867042,10,4.35156429445,0,0.0,16,4.40019697237,4.37588063341,5,6,2,2,0,0,10,5.62411936659,4↑
345,Kevin,De Bruyne,MID,MCI,~,"De Bruyne (MID, ~)",18,4,4,0.0,0.0,0.0,0.0,0.0,3.832427429188973,2.25,2.625,0.5,0.5,4.387482193696061,4.5,3.75,2.5,1.0,0.85942352531,10,2.21630937882,0,0.0,16,2.26494205673,2.24062571778,5,0,0,1,0,1,2,-0.24062571777999997,~
360,Rodrigo 'Rodri',Hernandez,MID,MCI,~,"Rodrigo (MID, ~)",2,2,6,0.0,0.0,0.0,0.0,0.0,0.4330127018922193,0.25,0.375,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.09549150281,10,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
341,Nathan,Aké,DEF,MCI,~,"Aké (DEF, ~)",1,1,7,0.0,0.0,0.0,0.0,0.0,0.3307189138830738,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04774575141,10,0.0,6,0.0,0,0.0,0.0,5,0,1,0,0,1,2,2.0,2↑
357,James,McAtee,MID,MCI,~,"McAtee (MID, ~)",1,1,7,0.0,0.0,0.0,0.0,0.0,0.3307189138830738,0.125,0.21875,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.04774575141,10,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
343,Oscar,Bobb,MID,MCI,~,"Bobb (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
344,Scott,Carson,GKP,MCI,~,"Carson (GKP, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,6,0.0,0,0.0,0.0,5,0,0,0,0,0,0,0.0,~
352,Julián,Álvarez,FWD,MCI,~,"J.Alvarez (FWD, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,0,0.0,16,0.0,0.0,5,0,0,0,0,0,0,0.0,~
353,João,Cavaco Cancelo,DEF,MCI,~,"João Cancelo (DEF, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,0.0,6,0.0,0,0.0,0.0,5,0,0,0,0,0,0,0.0,~
