id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fxtrs_plyd,fxtrs_not_plyd,med_form,MedAbsDev(form),avg_form,MeanAbsDev(form),StdDev(form),med_pts/fxtr,MedAbsDev(pts/fxtr),avg_pts/fxtr,MeanAbsDev(pts/fxtr),StdDev(pts/fxtr),med_pts/fxtr_plyd,MedAbsDev(pts/fxtr_plyd),avg_pts/fxtr_plyd,MeanAbsDev(pts/fxtr_plyd),StdDev(pts/fxtr_plyd),fplAdv_nxtGWs,xPts(fplAdv),defAdv_nxtGWs,xPts(defAdv),attAdv_nxtGWs,xPts(attAdv),xPts(avgAdv),#OfMatches_nxtGWs,gw11Pts,tot_aPts,tot_aPts-xPts(avgAdv),nxtGWsPtsTrend
129,João Pedro,Junqueira de Jesus,FWD,BHA,~,"João Pedro (FWD, ~)",19,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,2.4599999999999995,3.112876483254676,5.0,3.0,4.75,3.25,3.2691742076555053,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
142,Jason,Steele,GKP,BHA,~,"Steele (GKP, ~)",9,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,1.44,2.118962010041709,4.5,2.5,4.5,2.5,2.5,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
131,Tariq,Lamptey,DEF,BHA,~,"Lamptey (DEF, ~)",3,1,9,0.0,0.0,1.0,1.3333333333333333,1.4142135623730951,0.0,0.0,0.3,0.5399999999999999,0.9000000000000001,3.0,0.0,3.0,0.0,0.0,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
134,James,Milner,MID,BHA,~,"Milner (MID, ~)",5,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.7,0.806225774829855,2.0,0.0,1.6666666666666667,0.4444444444444444,0.4714045207910317,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
124,Billy,Gilmour,MID,BHA,~,"Gilmour (MID, ~)",3,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.48,0.6403124237432849,1.5,0.5,1.5,0.5,0.5,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
137,Jakub,Moder,MID,BHA,~,"Moder (MID, ~)",1,1,9,0.0,0.0,0.3333333333333333,0.4444444444444445,0.4714045207910317,0.0,0.0,0.1,0.18000000000000002,0.30000000000000004,1.0,0.0,1.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
141,Jeremy,Sarmiento Morante,MID,BHA,~,"Sarmiento (MID, ~)",1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.18000000000000002,0.30000000000000004,1.0,0.0,1.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
147,Adam,Webster,DEF,BHA,~,"Webster (DEF, ~)",1,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.36,0.5385164807134505,1.0,0.0,0.3333333333333333,0.888888888888889,0.9428090415820634,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
114,Benicio,Baker-Boaitey,MID,BHA,~,"Baker-Boaitey (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
116,Valentín,Barco,DEF,BHA,~,"Barco (DEF, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0.0,0,0.0,0.0,1,0,0,0,?
118,Amario,Cozier-Duberry,MID,BHA,~,"Cozier-Duberry (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
119,Mahmoud,Dahoud,MID,BHA,~,"Dahoud (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
125,Pascal,Groß,MID,BHA,~,"Gross (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
127,Ibrahim,Osman,MID,BHA,~,"I.Osman (MID, ~)",0,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0,?
