id,1st_name,2nd_name,position,team,prvGWsPtsTrend,web_name,tot_pts,fixtures_played,fixtures_not_played,std_form,form,MeanAbsDev(form),med_form,MedAbsDev(form),std_pts/fixture,avg_pts/fixture,MeanAbsDev(pts/fixture),med_pts/fixture,MedAbsDev(pts/fixture),std_pts/fixture_played,avg_pts/fixture_played,MeanAbsDev(pts/fixture_played),med_pts/fixture_played,MedAbsDev(pts/fixture_played),xPts,fplAdv_nxtGWs,^fplAdv*xPts,defAdv_nxtGWs,^defAdv*xPts,attAdv_nxtGWs,^attAdv*xPts,^avgAdv*xPts,#OfMatches_nxtGWs,gw9Pts,tot_aPts,(tot_aPts)-(^avgAdv*xPts),nxtGWsPtsTrend
605,Martial,Godo,MID,FUL,~,"Godo (MID, ~)",0,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.0,0,0.0,-1,0.0,0.0,1,0,0,0.0,~
245,Issa,Diop,DEF,FUL,3↓,"Diop (DEF, 3↓)",6,6,2,1.247219128924647,-0.3333333333333333,1.111111111111111,0.0,1.0,1.299038105676658,0.75,1.0625,1.0,1.0,1.4142135623730951,1.0,1.0,1.5,0.5,0.08046317885,1,0.87031285889,0,0.85410196625,0,0.0,0.86220741257,1,2,2,1.13779258743,1↑
268,Liam,Delap,FWD,IPS,3↓,"Delap (FWD, 3↓)",33,8,0,4.109609335312651,6.666666666666667,3.555555555555556,6.0,4.0,3.6550478793033614,4.125,3.15625,2.0,1.0,3.6550478793033614,4.125,3.15625,2.0,1.0,5.69583638807,-3,1.65957125458,0,0.0,-1,1.69199303986,1.67578214722,1,5,5,3.32421785278,3↑
274,Omari,Giraud-Hutchinson,MID,IPS,~,"Hutchinson (MID, ~)",18,8,0,1.8856180831641267,3.333333333333333,1.777777777777778,2.0,0.0,1.479019945774904,2.25,0.9375,2.0,0.0,1.479019945774904,2.25,0.9375,2.0,0.0,2.91953682115,-3,1.7082039325,0,0.0,-1,1.7082039325,1.7082039325,1,0,0,-1.7082039325,2↓
631,Jack,Clarke,MID,IPS,~,"J.Clarke (MID, ~)",11,6,2,1.699673171197595,2.6666666666666665,1.5555555555555554,2.0,1.0,1.4947825928876748,1.375,1.0625,1.0,0.5,1.462494064565354,1.8333333333333333,1.1111111111111112,1.0,0.0,2.17329390214,-3,0.82978562729,0,0.0,-1,0.84599651993,0.83789107361,1,1,1,0.16210892638999996,~
568,Arijanet,Muric,GKP,IPS,1↑,"Muric (GKP, 1↑)",22,7,1,0.816496580927726,2.0,0.6666666666666666,2.0,1.0,3.307189138830738,2.75,2.1875,2.0,1.0,3.356382892705923,3.142857142857143,2.2448979591836733,2.0,1.0,2.28647450844,-3,1.65957125458,-6,1.61093857667,0,0.0,1.63525491562,1,2,2,0.36474508438,~
359,Kalvin,Phillips,MID,IPS,~,"Phillips (MID, ~)",10,5,3,0.0,2.0,0.0,2.0,0.0,0.9682458365518544,1.25,0.9375,2.0,0.0,0.0,2.0,0.0,2.0,0.0,1.71352549156,-3,1.7082039325,0,0.0,-1,1.7082039325,1.7082039325,1,2,2,0.2917960675,~
278,Sam,Morsy,MID,IPS,1↓,"Morsy (MID, 1↓)",20,8,0,0.4714045207910317,1.6666666666666667,0.4444444444444444,2.0,0.0,2.5,2.5,1.625,2.0,0.5,2.5,2.5,1.625,2.0,0.5,1.98497167604,-3,1.68388759354,0,0.0,-1,1.70009848618,1.69199303986,1,0,0,-1.69199303986,2↓
264,Wes,Burns,MID,IPS,~,"Burns (MID, ~)",8,6,2,0.4714045207910317,1.6666666666666667,0.4444444444444444,2.0,0.0,0.8660254037844386,1.0,0.75,1.0,1.0,0.74535599249993,1.3333333333333333,0.6666666666666666,1.5,0.5,1.41202265917,-3,0.80546928833,0,0.0,-1,0.83789107361,0.82168018097,1,1,1,0.17831981903000005,~
267,Leif,Davis,DEF,IPS,~,"Davis (DEF, ~)",19,8,0,0.816496580927726,1.0,0.6666666666666666,1.0,1.0,2.496873044429772,2.375,2.0625,1.5,1.0,2.496873044429772,2.375,2.0625,1.5,1.0,1.52520326547,-3,1.23252027146,-6,1.18388759354,0,0.0,1.2082039325,1,2,2,0.7917960675,~
